(('2336', '3179'), 3)
(('608', '3148'), 10)
(('2020', '2186'), 3)
(('1219', '1947'), 3)
(('2840', '2394'), 3)
(('292', '377'), 6)
(('1580', '2572'), 5)
(('32', '1175'), 5)
(('593', '2571'), 6)
(('2019', '912'), 6)
(('2143', '2021'), 3)
(('3030', '1617'), 4)
(('1193', '1262'), 6)
(('1293', '1956'), 4)
(('1148', '3253'), 4)
(('480', '2471'), 3)
(('2407', '2528'), 4)
(('3534', '3916'), 4)
(('762', '2082'), 3)
(('3039', '1240'), 3)
(('2393', '3527'), 6)
(('2108', '1641'), 3)
(('2064', '1265'), 5)
(('1259', '2710'), 5)
(('3897', '3785'), 4)
(('1127', '923'), 4)
(('32', '3702'), 5)
(('1201', '316'), 3)
(('1193', '589'), 6)
(('1269', '2804'), 3)
(('1704', '590'), 4)
(('2694', '3298'), 8)
(('95', '1438'), 3)
(('3468', '924'), 3)
(('2081', '1210'), 5)
(('480', '1393'), 3)
(('1299', '1090'), 5)
(('1965', '1270'), 6)
(('2407', '2010'), 4)
(('296', '541'), 5)
(('2318', '2490'), 3)
(('3793', '1196'), 11)
(('3578', '3751'), 22)
(('946', '1270'), 3)
(('785', '2700'), 5)
(('3256', '349'), 5)
(('1175', '1270'), 3)
(('750', '318'), 3)
(('1204', '1250'), 3)
(('3176', '314'), 3)
(('933', '1259'), 3)
(('1270', '904'), 4)
(('2906', '2712'), 3)
(('3614', '2916'), 4)
(('2171', '3408'), 3)
(('2067', '2028'), 3)
(('1673', '2710'), 4)
(('24', '2713'), 4)
(('2087', '3578'), 3)
(('3863', '110'), 5)
(('2858', '1919'), 3)
(('1909', '3355'), 3)
(('1805', '648'), 4)
(('2916', '2949'), 3)
(('661', '1214'), 3)
(('3683', '2289'), 3)
(('3030', '1084'), 3)
(('3114', '2617'), 3)
(('1136', '590'), 5)
(('597', '3448'), 3)
(('3176', '3145'), 3)
(('590', '920'), 7)
(('2692', '1198'), 9)
(('3072', '3868'), 3)
(('589', '2700'), 5)
(('1394', '2688'), 3)
(('1186', '923'), 3)
(('592', '1584'), 5)
(('3006', '1097'), 4)
(('2959', '111'), 10)
(('2628', '1580'), 35)
(('2105', '2116'), 3)
(('2280', '1240'), 3)
(('2640', '745'), 3)
(('1', '3089'), 3)
(('508', '1517'), 3)
(('2125', '377'), 3)
(('1527', '377'), 3)
(('2087', '1097'), 3)
(('2001', '1127'), 4)
(('2657', '3702'), 3)
(('2359', '551'), 3)
(('3809', '2987'), 3)
(('34', '2333'), 3)
(('2642', '1097'), 3)
(('2710', '2997'), 9)
(('2001', '2006'), 3)
(('2716', '2100'), 3)
(('2313', '3481'), 3)
(('2640', '2797'), 4)
(('2571', '2470'), 3)
(('356', '2394'), 3)
(('2746', '1396'), 3)
(('3793', '3565'), 3)
(('592', '1307'), 4)
(('2571', '165'), 4)
(('2599', '1265'), 13)
(('480', '1485'), 4)
(('3578', '2194'), 3)
(('1196', '1197'), 11)
(('477', '296'), 3)
(('2968', '2021'), 3)
(('3175', '3608'), 3)
(('3536', '2683'), 3)
(('1997', '1240'), 6)
(('2959', '296'), 9)
(('110', '1566'), 5)
(('2858', '3911'), 3)
(('2311', '924'), 5)
(('1952', '1270'), 4)
(('3210', '356'), 4)
(('1196', '1104'), 4)
(('1210', '1747'), 3)
(('246', '2248'), 3)
(('1580', '2987'), 6)
(('293', '1343'), 4)
(('1230', '2409'), 3)
(('34', '514'), 3)
(('1552', '2605'), 4)
(('788', '3082'), 4)
(('2723', '2541'), 5)
(('969', '1287'), 4)
(('1270', '3623'), 6)
(('3527', '1210'), 4)
(('3176', '1513'), 10)
(('3798', '3114'), 3)
(('1259', '3301'), 4)
(('1917', '3702'), 4)
(('34', '3507'), 6)
(('2997', '380'), 3)
(('2059', '2762'), 3)
(('2707', '356'), 4)
(('25', '3418'), 7)
(('34', '3178'), 3)
(('969', '3108'), 3)
(('1197', '1213'), 4)
(('783', '3751'), 3)
(('1957', '1396'), 3)
(('1269', '1210'), 3)
(('2688', '2396'), 6)
(('34', '1374'), 4)
(('2657', '1653'), 3)
(('1704', '3098'), 3)
(('908', '1036'), 4)
(('2716', '1291'), 5)
(('3717', '3173'), 3)
(('1374', '2455'), 4)
(('1805', '1213'), 3)
(('2662', '780'), 6)
(('2991', '2916'), 3)
(('1374', '3654'), 4)
(('3101', '1304'), 3)
(('480', '3623'), 11)
(('2288', '780'), 4)
(('3362', '3361'), 3)
(('2424', '920'), 3)
(('253', '592'), 3)
(('144', '1673'), 4)
(('2699', '1653'), 3)
(('968', '2572'), 3)
(('3147', '1527'), 3)
(('1210', '3471'), 10)
(('1060', '3507'), 3)
(('1982', '1333'), 3)
(('1288', '1200'), 4)
(('1500', '3114'), 5)
(('608', '2677'), 4)
(('3362', '1179'), 3)
(('2572', '3114'), 3)
(('588', '3785'), 3)
(('3005', '3298'), 6)
(('2470', '1270'), 3)
(('1580', '1127'), 13)
(('480', '1674'), 3)
(('2959', '1907'), 4)
(('3114', '1127'), 5)
(('1231', '1270'), 3)
(('3576', '924'), 3)
(('24', '2710'), 6)
(('1079', '318'), 3)
(('1265', '1172'), 3)
(('1376', '2968'), 3)
(('480', '1288'), 3)
(('903', '2858'), 3)
(('592', '1265'), 6)
(('1197', '780'), 5)
(('260', '1968'), 10)
(('1196', '3763'), 3)
(('2321', '440'), 3)
(('337', '318'), 7)
(('3285', '3452'), 4)
(('648', '1566'), 3)
(('527', '2747'), 3)
(('593', '1639'), 5)
(('1047', '1610'), 3)
(('1253', '3471'), 3)
(('1294', '1226'), 4)
(('1230', '2369'), 3)
(('1233', '1200'), 7)
(('1527', '1252'), 4)
(('3219', '2763'), 6)
(('1197', '2600'), 3)
(('2416', '2247'), 3)
(('2395', '1641'), 4)
(('1304', '3494'), 3)
(('216', '2683'), 3)
(('2321', '3105'), 3)
(('1307', '1242'), 4)
(('1721', '1876'), 3)
(('3363', '910'), 4)
(('3273', '3219'), 3)
(('1136', '1250'), 3)
(('2421', '2617'), 3)
(('919', '318'), 11)
